성취기준코드,학년군,교과,영역,성취기준,성취수준A,성취수준B,성취수준C,탐구 활동,원문쪽
[6국06-03],초등 5~6학년군,국어,매체,적합한 양식과 수용자의 반응을 고려하여 복합양식 매체 자료를 제작하고 공유한다.,다양한 매체 및 매체 자료의 양식적 특성과 수용자의 반응을 적극적으로 고려하여 효과적인 복합양식 매체 자료를 제작하고 공유할 수 있다.,다양한 매체 및 매체 자료의 양식적 특성과 수용자의 반응을 고려하여 복합양식 매체 자료를 제작하고 공유할 수 있다.,다양한 매체 및 매체 자료의 양식적 특성을 제한적으로 고려하여 복합양식 매체 자료의 일부를 제작하고 공유한다.,,27
[6국06-04],초등 5~6학년군,국어,매체,자신의 매체 이용 양상에 대해 성찰한다.,자신의 매체 이용 양상을 다양한 측면에서 성찰하고 바람직한 매체 이용 방법을 능동적으로 탐색할 수 있다.,자신의 매체 이용 양상을 성찰하고 바람직한 매체 이용 방법을 탐색할 수 있다.,자신의 매체 이용 양상을 떠올리고 바람직한 매체 이용 방법을 제한적으로 탐색한다.,,27
[6사01-01],초등 5~6학년군,사회,우리나라 국토 여행,"우리나라 산지, 하천, 해안 지형의 위치를 확인하고 지형의 분포 특징을 탐구한다.","우리나라 산지, 하천, 해안 지형의 위치를 다양한 자료를 이용하여 조사하고, 우리나라 지형 분포의 특징을 분석할 수 있다.","우리나라 산지, 하천, 해안 지형의 위치를 지도에서 찾고, 우리나라 지형 분포의 특징을 설명할 수 있다.","우리나라 산지, 하천, 해안 지형을 지도에서 찾고 우리나라 지형 분포의 특징을 말할 수 있다.",,39
[6사01-02],초등 5~6학년군,사회,우리나라 국토 여행,독도의 지리적 특성과 독도에 대한 역사 기록을 바탕으로 영토로서 독도의 중요성을 이해한다.,"독도의 지리적 특성을 분석하고, 주요 역사 기록을 탐구하여 영토로서 독도의 중요성과 가치를 설명할 수 있다.","독도의 지리적 특성과 독도에 대한 역사 기록을 조사하고, 독도의 중요성을 설명할 수 있다.","독도의 지리적 특성을 파악하고 독도에 대한 역사 기록을 제시하며, 독도의 중요성을 인식할 수 있다.",,39
[6사02-01],초등 5~6학년군,사회,우리나라 지리 탐구,"우리나라의 계절별 기후 특징을 자료에서 탐구하고, 기후변화로 인한 자연재해의 심각성을 이해한다.","자료를 바탕으로 우리나라의 계절별 기후 특징을 분석하고, 기후변화로 인해 나타나는 자연재해의 심각성을 설명하며 기후변화에 대응하기 위한 행동에 참여할 수 있다.","자료를 바탕으로 우리나라의 계절별 기후 특징을 조사하고, 기후변화로 인해 나타나는 자연재해의 심각성을 설명할 수 있다.","자료를 바탕으로 우리나라의 계절별 기후 특징을 인식하고, 기후변화로 인해 나타난 자연재해를 제시할 수 있다.",,39
[6사02-02],초등 5~6학년군,사회,우리나라 지리 탐구,"우리나라의 지역별 인구 분포의 특징을 알아보고, 이에 따른 문제점과 해결 방안을 탐색한다.","우리나라 지역별 인구 분포의 특징을 분석하고, 이에 따른 문제점을 찾아 해결 방안을 조사하고 이와 관련된 사례를 설명할 수 있다.","우리나라 지역별 인구 분포의 특징을 설명하고, 이에 따른 문제점을 찾아 해결 방안을 조사할 수 있다.","우리나라 지역별 인구 분포의 특징을 나열하고, 이에 따른 문제점을 말할 수 있다.",,39
[6사03-01],초등 5~6학년군,사회,법과 인권의 보장,"일상 사례에서 법의 의미와 역할을 이해하고, 헌법에 규정된 인권이 일상생활에서 구현되는 사례를 조사하여 인권 친화적 태도를 기른다.","일상생활의 사례를 통해 법의 의미와 역할을 설명하고, 헌법에 규정된 인권이 일상생활에서 구현되는 사례를 조사하며 인권 존중을 실천할 수 있다.","일상생활의 사례와 관련지어 법의 의미와 역할을 이해하고, 헌법에 규정된 인권이 일상생활에서 구현되는 사례를 통해 인권을 존중하는 태도를 가진다.","일상의 사례에서 법의 의미와 역할을 살펴보고, 헌법에 규정된 인권이 일상생활에서 구현되는 사례를 말할 수 있다.",,40
[6사03-02],초등 5~6학년군,사회,법과 인권의 보장,"일상생활에서 인권이 침해되는 사례를 찾아 그 해결 방안을 탐색하고, 인권을 보호하는 활동에 참여한다.","일상생활에서 인권이 침해되는 사례를 분석하여 그 해결 방안을 제안하고, 인권을 보호하는 활동에 관심을 갖고 참여할 수 있다.","일상생활에서 인권이 침해되는 사례를 조사하여 그 해결 방안을 설명하고, 인권을 보호하는 활동에 참여할 수 있다.","인권이 침해된 사례에 대한 적절한 해결 방안을 제시하고, 인권을 보호하는 활동에 관심을 가진다.",,40
[6사04-01],초등 5~6학년군,사회,유적과 유물로 살펴본 옛 사람들의 생활,선사 시대와 고조선의 유적과 유물을 활용하여 당시 사람들의 생활을 추론한다.,"선사 시대와 고조선의 유적과 유물을 선정하여 특징을 분석하고, 이를 통해 당시 사람들의 생활 모습을 추론할 수 있다.",선사 시대와 고조선의 유적과 유물을 조사하여 당시 사람들의 생활 모습을 설명할 수 있다.,선사 시대와 고조선의 유적과 유물에 나타난 당시 사람들의 생활 모습을 짐작하여 말할 수 있다.,,40
[6사04-02],초등 5~6학년군,사회,유적과 유물로 살펴본 옛 사람들의 생활,역사 기록이나 유적과 유물에 나타난 고대 사람들의 생각과 생활을 추론한다.,"고대의 역사 기록이나 유적과 유물을 선정하여 특징을 분석하고, 이를 통해 고대 사람들의 생각과 생활 모습을 추론할 수 있다.",고대의 역사 기록이나 유적과 유물을 조사하여 고대 사람들의 생각과 생활 모습을 설명할 수 있다.,고대의 역사 기록이나 유적과 유물에 나타난 고대 사람들의 생각과 생활 모습을 짐작하여 말할 수 있다.,,40
[6사04-03],초등 5~6학년군,사회,유적과 유물로 살펴본 옛 사람들의 생활,다양한 역사 자료를 활용하여 고려 시대 사회 모습과 사람들의 생활을 추론한다.,"고려 시대의 다양한 역사 자료를 선정하여 특징을 분석하고, 이를 통해 고려 시대의 사회 모습과 사람들의 생활 모습을 추론할 수 있다.",고려 시대의 다양한 역사 자료를 조사하여 고려 시대의 사회 모습과 사람들의 생활 모습을 설명할 수 있다.,고려 시대의 역사 자료에 나타난 고려 시대의 사회 모습과 사람들의 생활 모습을 짐작하여 말할 수 있다.,,40
[6사05-01],초등 5~6학년군,사회,"달라지는 시대, 변화하는 생활 모습",조선 시대 사람들의 생각과 생활에 유교 문화가 미친 영향을 파악한다.,유교 문화가 조선 시대 사람들의 생각과 생활 모습에 미친 영향을 다양한 사례에 관한 분석을 통해 도출할 수 있다.,유교 문화가 조선 시대 사람들의 생각과 생활 모습에 미친 영향을 사례를 들어 설명할 수 있다.,유교 문화가 조선 시대 사람들의 생각과 생활 모습에 영향을 주었음을 인식할 수 있다.,,41
[6사05-02],초등 5~6학년군,사회,"달라지는 시대, 변화하는 생활 모습",조선 후기 사회·문화적 변화와 개항기 근대 문물 수용 과정에서 달라진 사람들의 생활을 이해한다.,조선 후기 사회·문화적 변화와 개항기 근대 문물 수용 과정을 보여주는 사례를 선정하고 분석하여 사람들의 달라진 생활 모습을 도출할 수 있다.,조선 후기 사회·문화적 변화와 개항기 근대 문물 수용 과정을 조사하여 사람들의 달라진 생활 모습을 설명할 수 있다.,조선 후기 사회·문화적 변화와 개항기 근대 문물 수용 과정을 살펴보며 사람들의 생활 모습이 달라졌음을 인식할 수 있다.,,41
[6사06-01],초등 5~6학년군,사회,"식민 통치와 저항, 전쟁이 바꾼 사회와 생활",일제의 식민 통치와 이에 대한 저항이 사회와 생활에 미친 영향을 이해한다.,일제의 식민 통치와 이에 대한 저항이 사회와 사람들의 생활 모습에 미친 영향을 다양한 사례를 통해 분석할 수 있다.,일제의 식민 통치와 이에 대한 저항이 사회와 사람들의 생활 모습에 미친 영향을 사례를 들어 설명할 수 있다.,일제의 식민 통치와 이에 대한 저항으로 인해 사회와 사람들의 생활 모습이 달라졌음을 인식할 수 있다.,,41
[6사06-02],초등 5~6학년군,사회,"식민 통치와 저항, 전쟁이 바꾼 사회와 생활",8·15 광복과 6·25 전쟁이 사회와 생활에 미친 영향을 파악한다.,8·15 광복과 6·25 전쟁이 사회와 사람들의 생활 모습에 미친 영향을 다양한 사례를 통해 분석할 수 있다.,8·15 광복과 6·25 전쟁이 사회와 사람들의 생활 모습에 미친 영향을 사례를 들어 설명할 수 있다.,8·15 광복과 6·25 전쟁으로 인해 사회와 사람들의 생활 모습이 달라졌음을 인식할 수 있다.,,41
[6사07-01],초등 5~6학년군,사회,"평화 통일을 위한 노력, 민주화와 산업화","분단으로 나타난 문제점과 분단과 관련된 장소를 평화의 장소로 만들려는 노력 등을 알아보고, 평화 통일을 위해 우리가 할 수 있는 일을 탐색한다.","분단으로 인해 나타난 문제점 및 분단과 관련된 장소를 평화의 장소로 만들려는 노력 등을 탐구하며, 평화 통일을 위해 할 수 있는 활동을 제안하고 참여할 수 있다.","분단으로 인해 나타난 문제점 및 분단과 관련된 장소를 평화의 장소로 만들려는 노력 등을 조사하며, 평화 통일을 위해 우리가 할 수 있는 활동을 제안할 수 있다.","분단으로 인해 나타난 문제점 및 분단과 관련된 장소를 평화의 장소로 만들려는 노력 등을 살펴보며, 평화 통일의 필요성을 인식할 수 있다.",,42
[6사07-02],초등 5~6학년군,사회,"평화 통일을 위한 노력, 민주화와 산업화",민주화와 산업화로 인해 달라진 생활 문화를 사례를 들어 이해한다.,민주화와 산업화로 인해 달라진 사람들의 생활 문화를 다양한 사례를 통해 분석할 수 있다.,민주화와 산업화로 인해 달라진 사람들의 생활 문화를 사례를 들어 설명할 수 있다.,민주화와 산업화로 인해 사람들의 생활 문화가 변화되었음을 인식할 수 있다.,,42
[6사08-01],초등 5~6학년군,사회,민주주의와 시민 참여,"민주주의에서 선거의 의미와 역할을 파악하고, 시민의 주권 행사를 위해 선거에 참여하는 태도를 기른다.","사례를 통해 민주주의에서 선거의 의미와 역할을 분석하고, 시민의 주권 행사를 위해 선거에 관심을 갖고 선거 과정에 참여할 수 있다.","민주주의에서 선거의 의미와 역할을 설명하고, 시민의 주권 행사를 위해 선거 과정에 참여하기 위해 노력할 수 있다.","선거의 의미와 역할을 제시하고, 선거 과정에 관심을 가진다.",,42
[6사08-02],초등 5~6학년군,사회,민주주의와 시민 참여,"민주 국가에서 국회, 행정부, 법원이 하는 일에 대해 이해하고, 각 국가기관의 권력을 분립하는 이유를 탐색한다.","민주 국가에서 국회, 행정부, 법원이 하는 일에 대해 분석하고, 각 국가기관의 권력을 분립하는 이유를 도출할 수 있다.","우리나라에서 국회, 행정부, 법원이 하는 일에 대해 조사하고, 각 국가기관의 권력을 분립하는 이유를 설명할 수 있다.","우리나라에서 국회, 행정부, 법원이 하는 일을 제시하고, 각 국가기관의 권력을 분립해야 함을 파악할 수 있다.",,42
[6사08-03],초등 5~6학년군,사회,민주주의와 시민 참여,"민주주의에서 미디어의 의미와 역할을 이해하고, 여러 가지 미디어의 내용을 비판적으로 분석하여 올바르게 이용하는 태도를 기른다.","민주주의에서 미디어의 의미와 역할을 설명하고, 여러 가지 사례 속 미디어의 내용을 비판적으로 분석하여 미디어 이용에 대해 올바른 태도를 가지고 실천할 수 있다.","민주주의에서 미디어의 의미와 역할을 설명하고, 여러 가지 사례 속 미디어의 내용을 비판적으로 파악하여 미디어를 올바르게 이용하고자 노력한다.","민주주의에서 미디어의 의미와 역할을 제시하고, 미디어를 올바르게 이용하는 태도를 가진다.",,42
[6사09-01],초등 5~6학년군,사회,"지구, 대륙 그리고 국가들","세계를 표현하는 다양한 공간 자료의 특징을 이해하고, 지구본과 세계지도에서 위치를 표현하는 방법을 익힌다.","세계를 표현하는 다양한 공간자료의 특징을 분석하고, 지구본과 세계지도에서 경도와 위도를 이용하여 위치를 표현할 수 있다.","세계를 표현하는 다양한 공간자료의 특징을 제시하고, 지구본과 세계지도에서 경도와 위도의 의미를 설명할 수 있다.","세계를 표현하는 다양한 공간자료를 찾아보고, 지구본과 세계지도에서 경도와 위도를 구분할 수 있다.",,43
[6사09-02],초등 5~6학년군,사회,"지구, 대륙 그리고 국가들","세계 주요 대륙과 대양을 파악하고, 우리나라 및 세계 여러 국가의 위치와 영토의 특징을 이해한다.","세계 주요 대륙과 대양의 위치를 설명하고, 우리나라 및 세계 여러 국가의 위치와 영토의 특징을 분석할 수 있다.","세계 주요 대륙과 대양의 위치를 찾고, 우리나라 및 세계 여러 국가의 위치와 영토의 특징을 설명할 수 있다.","세계 주요 대륙과 대양의 위치를 알아보고, 여러 국가의 위치와 영토의 특징을 말할 수 있다.",,43
[6사10-01],초등 5~6학년군,사회,세계의 자연환경,"세계 여러 지역의 지형 경관을 살펴보고, 이를 통해 다양한 삶의 모습을 이해한다.","세계 여러 지역의 지형 경관의 특징을 분석하고, 세계 여러 지역에서 나타나는 다양한 삶의 모습을 탐구할 수 있다.","세계 여러 지역의 지형 경관을 조사하고, 다양한 삶의 모습을 설명할 수 있다.","세계 여러 지역의 지형 경관의 특징을 제시하고, 삶의 모습이 다양함을 말할 수 있다.",,43
[6사10-02],초등 5~6학년군,사회,세계의 자연환경,세계의 다양한 기후를 알아보고 기후 환경과 인간생활 간의 관계를 탐구한다.,"세계의 다양한 기후의 특징을 분석하고, 기후 환경과 인간생활 간의 관계를 탐구할 수 있다.","세계의 다양한 기후를 조사하고, 기후 환경과 인간생활 간의 관계를 설명할 수 있다.",세계의 다양한 기후를 제시하고 기후 환경이 인간생활과 관련이 있음을 말할 수 있다.,,43
[6사11-01],초등 5~6학년군,사회,시장경제와 국가 간 거래,"시장경제에서 가계와 기업의 역할을 이해하고, 근로자의 권리와 기업의 자유 및 책임을 탐색한다.","시장경제에서 가계와 기업의 역할을 설명하고, 사례를 중심으로 근로자의 권리와 기업의 자유 및 책임을 분석할 수 있다.","시장경제에서 가계와 기업의 역할을 제시하고, 근로자의 권리와 기업의 자유 및 책임을 탐색할 수 있다.",시장경제에서 가계와 기업의 역할을 제시할 수 있다.,,44
[6사11-02],초등 5~6학년군,사회,시장경제와 국가 간 거래,"경제성장이 우리 생활에 미치는 영향을 파악하고, 빠른 경제성장으로 발생한 문제의 해결 방안을 탐색한다.","자료를 통해 경제성장이 우리 생활에 미치는 영향을 분석하고, 빠른 경제성장으로 인해 발생한 문제와 해결 방안을 도출할 수 있다.","경제성장이 우리 생활에 미치는 영향을 설명하고, 빠른 경제성장으로 인해 발생한 문제의 해결 방안을 탐색할 수 있다.",경제성장이 우리 생활에 미치는 영향과 빠른 경제성장으로 인해 발생한 문제를 제시할 수 있다.,,44
[6사11-03],초등 5~6학년군,사회,시장경제와 국가 간 거래,"사례를 통해 무역의 의미를 이해하고, 국가 간 무역이 발생하는 이유를 탐구한다.","사례를 통해 무역의 의미와 중요성을 도출하고, 국가 간 무역이 발생하는 이유를 탐구할 수 있다.","사례를 통해 무역의 의미를 분석하고, 국가 간 무역이 발생하는 이유를 설명할 수 있다.",무역의 의미와 국가 간 무역이 발생하는 이유를 말할 수 있다.,,44
[6사12-01],초등 5~6학년군,사회,지구촌 사람들,세계 인구 분포를 파악하고 여러 국가의 인구 특징을 탐구한다.,"자료를 통해 세계 인구 분포를 분석하고, 여러 국가의 인구 특징을 도출할 수 있다.","세계 인구 분포를 조사하고, 여러 국가의 인구 특징을 설명할 수 있다.",세계 인구 분포 특징을 제시할 수 있다.,,44
[6사12-02],초등 5~6학년군,사회,지구촌 사람들,"지구촌을 위협하는 다양한 문제들을 파악하고, 지속가능한 미래를 위한 해결 방안을 탐색한다.","지구촌의 평화와 발전을 위협하는 문제를 조사하고, 지속가능한 미래를 위한 해결 방안을 탐구하며 인류 공동의 문제에 관심을 가진다.","지구촌의 평화와 발전을 위협하는 문제를 조사하고, 지속가능한 미래를 위한 해결 방안을 제시할 수 있다.","지구촌의 평화와 발전을 위협하는 문제를 제시하고, 지속가능한 미래를 위한 해결 방안을 살펴볼 수 있다.",,44
[6도01-01],초등 5~6학년군,도덕,자신과의 관계,자주적인 삶에 대한 이해를 바탕으로 자신의 생활계획을 세우고 실천하여 주체적인 삶의 태도를 기른다.,자주적인 삶에 대한 전반적인 이해를 바탕으로 생활 전반에서 자신의 생활계획을 세우고 실천하여 주체적인 삶의 태도를 가진다.,자주적인 삶에 대한 이해를 바탕으로 자신의 생활계획을 세우고 실천하여 주체적인 삶의 태도를 기른다.,자주적인 삶에 대한 부분적인 이해를 바탕으로 자신의 생활계획을 세우고 실천하려고 노력한다.,,57
[6도01-02],초등 5~6학년군,도덕,자신과의 관계,생활 습관에 대한 성찰을 통해 자기 생활을 점검하고 올바른 계획을 세워 이를 실천한다,전반적인 생활 습관에 대한 성찰을 통해 자기 생활을 다각도로 점검하고 올바른 계획을 세워 지속적으로 실천한다.,생활 습관에 대한 성찰을 통해 자기 생활을 점검하고 올바른 계획을 세워 실천한다.,생활 습관을 살펴봄으로써 자기 생활을 점검하고 올바른 계획을 세우는 것에 관심을 가진다.,,57
[6도01-03],초등 5~6학년군,도덕,자신과의 관계,자기가 하고 싶은 일을 선택할 때 도덕적 고려의 필요성을 알고 자신의 특기와 적성을 탐색하여 진로계획을 수립한다.,자기가 하고 싶은 일을 선택할 때 도덕적 고려의 필요성을 포괄적으로 이해하고 자신의 특기와 적성을 다각도로 탐색하여 구체적으로 진로계획을 수립한다.,자기가 하고 싶은 일을 선택할 때 도덕적 고려의 필요성을 이해하고 자신의 특기와 적성을 탐색하여 진로계획을 수립한다.,자기가 하고 싶은 일을 선택할 때 도덕적 고려의 필요성을 단편적으로 이해하고 자신의 특기와 적성을 탐색하여 진로계획 수립에 관심을 가진다.,,57
[6도02-01],초등 5~6학년군,도덕,타인과의 관계,"봉사의 의미와 중요성을 이해하고, 타인이 처한 상황과 환경에 대한 주의 깊은 관심을 바탕으로 봉사를 실천한다.",봉사의 의미와 중요성을 포괄적으로 이해하고 타인이 처한 상황과 환경에 대한 주의 깊은 관심을 바탕으로 생활 전반에서 봉사를 실천한다.,봉사의 의미와 중요성을 이해하고 타인이 처한 상황과 환경에 대한 관심을 바탕으로 봉사를 실천한다.,봉사의 의미와 중요성을 단편적으로 이해하고 타인이 처한 상황과 환경에 대한 관심을 바탕으로 봉사를 실천하려고 노력한다.,,57
[6도02-02],초등 5~6학년군,도덕,타인과의 관계,"편견이 발생하는 이유를 탐색하여 해결 방안을 살펴보고, 다양성 존중을 바탕으로 다른 사람과 올바른 관계를 맺기 위한 실천 방안을 탐구한다.",편견이 발생하는 이유를 다각도로 탐색하여 해결 방안을 살펴보고 다양성 존중을 바탕으로 다른 사람과 올바른 관계를 맺기 위한 실천 방안을 다양하게 탐구한다.,편견이 발생하는 이유를 탐색하여 해결 방안을 살펴보고 다양성 존중을 바탕으로 다른 사람과 올바른 관계를 맺기 위한 실천 방안을 탐구한다.,편견이 발생하는 이유를 탐색하여 해결 방안을 살펴보려고 노력하고 다양성 존중을 바탕으로 다른 사람과 올바른 관계 맺기를 위한 실천 방안에 관심을 갖는다.,,58
[6도02-03],초등 5~6학년군,도덕,타인과의 관계,인간과 인공지능 로봇 간의 다양한 관계를 파악하고 도덕에 기반을 둔 관계 형성의 필요성을 탐구한다.,인간과 인공지능 로봇 간의 관계를 다각도로 파악하고 도덕에 기반을 둔 관계 형성의 필요성을 포괄적으로 탐구한다.,인간과 인공지능 로봇 간의 관계를 파악하고 도덕에 기반을 둔 관계 형성의 필요성을 이해한다.,인간과 인공지능 로봇 간의 관계를 파악하려고 노력하고 도덕에 기반을 둔 관계 형성의 필요성에 관심을 가진다.,,58
[6도03-01],초등 5~6학년군,도덕,사회·공동체과의 관계,인권과 관련된 다양한 사례를 살펴보고 인권에 관한 감수성을 길러 이를 실천하려는 의지를 함양한다.,인권과 관련된 다양한 사례를 살펴보고 생활 전반에서 인권에 관한 감수성을 길러 이를 실천하려는 의지를 가진다.,인권과 관련된 사례를 살펴보고 인권에 관한 감수성을 길러 이를 실천하려는 의지를 가진다.,인권과 관련된 사례에 관심을 갖고 인권에 관한 감수성을 기르려고 노력한다.,,58
[6도03-02],초등 5~6학년군,도덕,사회·공동체과의 관계,정의에 관한 관심을 토대로 공동체 규칙의 중요성을 살펴보고 직접 공정한 규칙을 고안하며 기초적인 시민의식을 기른다.,정의에 관한 관심을 토대로 공동체 규칙의 중요성을 포괄적으로 이해하고 공정한 규칙을 다각도로 고안하며 기초적인 시민의식을 가진다.,정의에 관한 관심을 토대로 공동체 규칙의 중요성을 이해하고 공정한 규칙을 고안하며 기초적인 시민의식을 기른다.,정의에 관한 관심을 토대로 공동체 규칙의 중요성을 단편적으로 이해하고 공정한 규칙을 고안하려고 노력하며 기초적인 시민의식에 관심을 가진다.,,58
[6도03-03],초등 5~6학년군,도덕,사회·공동체과의 관계,통일과정과 통일 이후 사회의 여러 가지 상황을 예상하고 바람직한 통일과정과 통일국가의 사회상을 제시한다.,통일과정과 통일 이후 사회의 여러 가지 상황을 전반적으로 예상하고 바람직한 통일과정과 통일 국가의 사회상을 다각도로 제시한다.,통일과정과 통일 이후 사회의 여러 가지 상황을 예상하고 바람직한 통일과정과 통일 국가의 사회상을 제시한다.,통일과정과 통일 이후 사회의 여러 가지 상황을 부분적으로 예상하고 바람직한 통일과정과 통일 국가의 사회상에 관심을 가진다.,,58
[6도03-04],초등 5~6학년군,도덕,사회·공동체과의 관계,다른 나라 사람들이 처한 여러 가지 상황을 종합적으로 이해하고 해결 방안을 탐구하며 인류애를 기른다.,다른 나라 사람들이 처한 여러 가지 상황을 종합적으로 이해하고 해결 방안을 다각도로 탐구하며 인류애를 가진다.,다른 나라 사람들이 처한 여러 가지 상황을 이해하고 해결 방안을 탐구하며 인류애를 기른다.,다른 나라 사람들이 처한 상황을 부분적으로 이해하고 해결 방안을 탐구하려고 노력하며 인류애에 관심을 가진다.,,59
[6도04-01],초등 5~6학년군,도덕,자연과의 관계,"지구의 환경 위기 상황을 이해하고, 이를 극복하기 위한 다양한 방법을 찾아 자신의 일상에서 실천하고자 노력한다.",지구의 환경 위기 상황을 전반적으로 이해하고 이를 극복하기 위한 다양한 방법을 찾아 자신의 일상에서 실천하고자 노력한다.,지구의 환경 위기 상황을 이해하고 이를 극복하기 위한 방법을 찾아 자신의 일상에서 실천하고자 노력한다.,지구의 환경 위기 상황을 부분적으로 이해하고 이를 극복하기 위한 방법을 찾으려고 노력하며 자신의 일상에서 실천에 관심을 가진다.,,59
[6도04-02],초등 5~6학년군,도덕,자연과의 관계,지속가능한 삶의 의미를 탐구하고 미래 세대에 대한 책임을 강화하여 자연의 다양성을 존중하고 생산성을 유지할 수 있는 미래를 위한 실천 방안을 찾는다.,지속가능한 삶의 의미를 포괄적으로 이해하고 미래 세대에 대한 높은 책임감을 바탕으로 자연의 다양성을 존중하고 생산성을 유지할 수 있는 미래를 위한 실천 방안을 다각도로 찾는다.,지속가능한 삶의 의미를 이해하고 미래 세대에 대한 책임감을 바탕으로 자연의 다양성을 존중하고 생산성을 유지할 수 있는 미래를 위한 실천 방안을 찾는다.,지속가능한 삶의 의미를 단편적으로 이해하고 미래 세대에 대한 책임감을 바탕으로 자연의 다양성을 존중하고 생산성을 유지할 수 있는 미래를 위한 실천 방안에 관심을 가진다.,,59
[6수01-01],초등 5~6학년군,수학,수와 연산,"덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다.","덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산을 하고, 계산하는 순서를 설명할 수 있다.","덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 그 계산을 할 수 있다.","안내된 절차에 따라 덧셈, 뺄셈, 곱셈, 나눗셈 중 일부가 섞여 있는 간단한 혼합 계산에서 계산하는 순서를 알고, 그 계산을 할 수 있다.",,69
[6수01-02],초등 5~6학년군,수학,수와 연산,"실생활과 연결하여 이상, 이하, 초과, 미만의 의미와 쓰임을 알고, 이를 활용하여 수의 범위를 나타낼 수 있다.","이상, 이하, 초과, 미만의 의미와 쓰임을 알고, 수의 범위를 활용하여 실생활 문제를 해결할 수 있다.","실생활 상황에서 이상, 이하, 초과, 미만을 사용하여 수의 범위를 나타낼 수 있다.","안내된 절차에 따라 이상, 이하, 초과, 미만을 사용하여 간단한 수의 범위를 나타낼 수 있다.",,69
[6수01-03],초등 5~6학년군,수학,수와 연산,"어림값을 구하기 위한 방법으로 올림, 버림, 반올림의 의미와 필요성을 알고, 이를 실생활에 활용함으로써 수학의 유용성을 인식할 수 있다.","올림, 버림, 반올림의 의미와 필요성을 알고, 이를 활용하여 실생활 문제를 해결하며, 이 과정에서 수학의 유용성을 설명할 수 있다.","올림, 버림, 반올림을 사용하여 실생활의 여러 가지 수를 어림값으로 나타내고, 이 과정에서 수학의 유용성을 인식한다.","안내된 절차에 따라 올림, 버림, 반올림을 사용하여 수를 어림값으로 나타낼 수 있다.",,69
[6수01-04],초등 5~6학년군,수학,수와 연산,"약수, 공약수, 최대공약수를 이해하고 구할 수 있다.","약수, 공약수, 최대공약수를 구하고, 그 방법과 그들 사이의 관계를 설명할 수 있다.","약수, 공약수, 최대공약수를 이해하고, 주어진 수의 약수, 공약수, 최대공약수를 구할 수 있다.","안내된 절차에 따라 주어진 수의 약수, 공약수, 최대공약수를 구할 수 있다.",,70
[6수01-05],초등 5~6학년군,수학,수와 연산,"배수, 공배수, 최소공배수를 이해하고 구할 수 있다.","배수, 공배수, 최소공배수를 구하고, 그 방법과 그들 사이의 관계를 설명할 수 있다.","배수, 공배수, 최소공배수를 이해하고, 주어진 수의 배수, 공배수, 최소공배수를 구할 수 있다.","안내된 절차에 따라 주어진 수의 배수, 공배수, 최소공배수를 구할 수 있다.",,70
[6수01-06],초등 5~6학년군,수학,수와 연산,"크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다.","크기가 같은 분수에 대한 이해를 바탕으로 분수를 약분, 통분하고, 그 방법을 설명할 수 있다.","크기가 같은 분수에 대한 이해를 바탕으로 주어진 분수와 크기가 같은 분수를 만들고, 분수를 약분, 통분할 수 있다.","안내된 절차에 따라 주어진 분수와 크기가 같은 분수를 찾고, 간단한 분수를 약분, 통분할 수 있다.",,70
[6수01-07],초등 5~6학년군,수학,수와 연산,분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다.,"분모가 다른 분수의 크기를 여러 가지 방법으로 비교하고, 그 방법을 설명할 수 있다.",분모가 다른 분수를 통분하여 크기를 비교할 수 있다.,안내된 절차에 따라 분모가 다른 분수의 크기를 비교할 수 있다.,,70
[6수01-08],초등 5~6학년군,수학,수와 연산,분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.,"분모가 다른 분수의 덧셈과 뺄셈을 계산하고, 그 계산 원리를 설명할 수 있다.","분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고, 그 계산을 할 수 있다.",안내된 절차에 따라 분모가 다른 간단한 분수의 덧셈과 뺄셈을 할 수 있다.,,70
[6수01-09],초등 5~6학년군,수학,수와 연산,분수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.,"‘(분수)×(자연수)’, ‘(자연수)×(분수)’, ‘(분수)×(분수)’를 계산하고, 그 계산 원리를 설명할 수 있다.","‘(분수)×(자연수)’, ‘(자연수)×(분수)’, ‘(분수)×(분수)’의 계산 원리를 탐구하고, 그 계산을 할 수 있다.","안내된 절차에 따라 간단한 ‘(분수)×(자연수)’, ‘(자연수)×(분수)’, ‘(분수)×(분수)’의 계산을 할 수 있다.",,71
[6수01-10],초등 5~6학년군,수학,수와 연산,÷ ‘(자연수)(자연수)’에서 나눗셈의 몫을 분수로 나타낼 수 있다.,"‘(자연수)÷(자연수)’의 몫을 분수로 나타내고, 그 방법을 설명할 수 있다.",‘(자연수)÷(자연수)’의 몫을 분수로 나타낼 수 있다.,안내된 절차에 따라 ‘(자연수)÷(자연수)’의 몫을 분수로 나타낼 수 있다.,,71
